source,data,ts
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:37:56.307994""}",2026-08-08T02:37:56.314501
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -50.7, ""ts"": ""2026-08-08T02:37:56.307994""}",2026-08-08T02:37:56.330130
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:01.311867""}",2026-08-08T02:38:01.311867
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:01.311867""}",2026-08-08T02:38:01.311867
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:01.311867""}",2026-08-08T02:38:01.329159
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.2, ""ts"": ""2026-08-08T02:38:01.311867""}",2026-08-08T02:38:01.336543
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:06.316055""}",2026-08-08T02:38:06.318534
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:06.316426""}",2026-08-08T02:38:06.329542
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:06.316539""}",2026-08-08T02:38:06.336050
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.7, ""ts"": ""2026-08-08T02:38:06.316539""}",2026-08-08T02:38:06.344264
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:11.331078""}",2026-08-08T02:38:11.343561
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:11.331078""}",2026-08-08T02:38:11.354873
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 574.99, ""energy_wh_delta"": 0.0008, ""ts"": ""2026-08-08T02:38:11.331942""}",2026-08-08T02:38:11.364682
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.8, ""ts"": ""2026-08-08T02:38:11.335918""}",2026-08-08T02:38:11.374382
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:16.350606""}",2026-08-08T02:38:16.353035
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:16.353035""}",2026-08-08T02:38:16.361541
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:16.353035""}",2026-08-08T02:38:16.369417
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.0, ""ts"": ""2026-08-08T02:38:16.353035""}",2026-08-08T02:38:16.386138
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:21.365452""}",2026-08-08T02:38:21.376495
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 416.94, ""energy_wh_delta"": 0.00058, ""ts"": ""2026-08-08T02:38:21.365452""}",2026-08-08T02:38:21.384401
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 381.25, ""energy_wh_delta"": 0.00053, ""ts"": ""2026-08-08T02:38:21.365452""}",2026-08-08T02:38:21.391383
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.7, ""ts"": ""2026-08-08T02:38:21.366486""}",2026-08-08T02:38:21.399563
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:26.367530""}",2026-08-08T02:38:26.369758
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:26.367530""}",2026-08-08T02:38:26.369758
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 616.84, ""energy_wh_delta"": 0.00086, ""ts"": ""2026-08-08T02:38:26.367530""}",2026-08-08T02:38:26.389211
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.9, ""ts"": ""2026-08-08T02:38:26.369758""}",2026-08-08T02:38:26.397190
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:31.383329""}",2026-08-08T02:38:31.387648
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:31.383329""}",2026-08-08T02:38:31.387648
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:31.383329""}",2026-08-08T02:38:31.403533
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.9, ""ts"": ""2026-08-08T02:38:31.384326""}",2026-08-08T02:38:31.419388
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:36.398448""}",2026-08-08T02:38:36.408461
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 336.92, ""energy_wh_delta"": 0.00047, ""ts"": ""2026-08-08T02:38:36.398448""}",2026-08-08T02:38:36.408461
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:36.398448""}",2026-08-08T02:38:36.408461
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.9, ""ts"": ""2026-08-08T02:38:36.398448""}",2026-08-08T02:38:36.424088
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:41.405993""}",2026-08-08T02:38:41.419751
energy,"{""tile_id"": ""tile_2"", ""steps"": 2, ""power_mw"": 1259.55, ""energy_wh_delta"": 0.00175, ""ts"": ""2026-08-08T02:38:41.405993""}",2026-08-08T02:38:41.435381
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:41.405993""}",2026-08-08T02:38:41.451003
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.3, ""ts"": ""2026-08-08T02:38:41.405993""}",2026-08-08T02:38:41.451003
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:46.421663""}",2026-08-08T02:38:46.427671
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:46.421663""}",2026-08-08T02:38:46.427671
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:46.421663""}",2026-08-08T02:38:46.443306
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.3, ""ts"": ""2026-08-08T02:38:46.421663""}",2026-08-08T02:38:46.443306
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:51.429539""}",2026-08-08T02:38:51.441845
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:51.429539""}",2026-08-08T02:38:51.441845
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:51.429539""}",2026-08-08T02:38:51.457471
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.1, ""ts"": ""2026-08-08T02:38:51.429539""}",2026-08-08T02:38:51.457471
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:56.434508""}",2026-08-08T02:38:56.438497
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:56.434508""}",2026-08-08T02:38:56.444852
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:38:56.434508""}",2026-08-08T02:38:56.455823
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.9, ""ts"": ""2026-08-08T02:38:56.435504""}",2026-08-08T02:38:56.463030
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:01.449631""}",2026-08-08T02:39:01.461262
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:01.449631""}",2026-08-08T02:39:01.461262
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:01.449631""}",2026-08-08T02:39:01.461262
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.7, ""ts"": ""2026-08-08T02:39:01.449631""}",2026-08-08T02:39:01.476889
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:06.457724""}",2026-08-08T02:39:06.460714
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:06.457724""}",2026-08-08T02:39:06.470691
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:06.457724""}",2026-08-08T02:39:06.478666
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.5, ""ts"": ""2026-08-08T02:39:06.458720""}",2026-08-08T02:39:06.487643
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 615.14, ""energy_wh_delta"": 0.00085, ""ts"": ""2026-08-08T02:39:11.460064""}",2026-08-08T02:39:11.474800
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:11.460064""}",2026-08-08T02:39:11.490433
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:11.460064""}",2026-08-08T02:39:11.506069
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -58.8, ""ts"": ""2026-08-08T02:39:11.460064""}",2026-08-08T02:39:11.513083
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 486.8, ""energy_wh_delta"": 0.00068, ""ts"": ""2026-08-08T02:39:16.467435""}",2026-08-08T02:39:16.475322
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:16.467435""}",2026-08-08T02:39:16.475322
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:16.467435""}",2026-08-08T02:39:16.490955
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -57.7, ""ts"": ""2026-08-08T02:39:16.467435""}",2026-08-08T02:39:16.506575
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:21.477270""}",2026-08-08T02:39:21.477270
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:21.477270""}",2026-08-08T02:39:21.477270
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:21.477270""}",2026-08-08T02:39:21.492663
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -58.8, ""ts"": ""2026-08-08T02:39:21.477270""}",2026-08-08T02:39:21.492663
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:26.484868""}",2026-08-08T02:39:26.484868
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 381.1, ""energy_wh_delta"": 0.00053, ""ts"": ""2026-08-08T02:39:26.484868""}",2026-08-08T02:39:26.484868
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:26.484868""}",2026-08-08T02:39:26.500488
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.2, ""ts"": ""2026-08-08T02:39:26.484868""}",2026-08-08T02:39:26.500488
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:31.494840""}",2026-08-08T02:39:31.502505
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:31.494840""}",2026-08-08T02:39:31.518138
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:31.494840""}",2026-08-08T02:39:31.518138
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.8, ""ts"": ""2026-08-08T02:39:31.494840""}",2026-08-08T02:39:31.532149
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:36.502047""}",2026-08-08T02:39:36.502047
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 501.29, ""energy_wh_delta"": 0.0007, ""ts"": ""2026-08-08T02:39:36.502047""}",2026-08-08T02:39:36.517667
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:36.502047""}",2026-08-08T02:39:36.517667
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.7, ""ts"": ""2026-08-08T02:39:36.502047""}",2026-08-08T02:39:36.533285
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:41.526490""}",2026-08-08T02:39:41.526490
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 523.18, ""energy_wh_delta"": 0.00073, ""ts"": ""2026-08-08T02:39:41.526490""}",2026-08-08T02:39:41.526490
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:41.526490""}",2026-08-08T02:39:41.548626
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.4, ""ts"": ""2026-08-08T02:39:41.526490""}",2026-08-08T02:39:41.548626
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:46.545286""}",2026-08-08T02:39:46.545286
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:46.545286""}",2026-08-08T02:39:46.545286
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 446.91, ""energy_wh_delta"": 0.00062, ""ts"": ""2026-08-08T02:39:46.545286""}",2026-08-08T02:39:46.558294
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -51.5, ""ts"": ""2026-08-08T02:39:46.545286""}",2026-08-08T02:39:46.558294
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:51.547596""}",2026-08-08T02:39:51.547596
energy,"{""tile_id"": ""tile_2"", ""steps"": 2, ""power_mw"": 1294.06, ""energy_wh_delta"": 0.0018, ""ts"": ""2026-08-08T02:39:51.547596""}",2026-08-08T02:39:51.547596
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:51.547596""}",2026-08-08T02:39:51.565722
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.2, ""ts"": ""2026-08-08T02:39:51.547596""}",2026-08-08T02:39:51.565722
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:56.560064""}",2026-08-08T02:39:56.565056
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:39:56.561067""}",2026-08-08T02:39:56.573036
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 376.49, ""energy_wh_delta"": 0.00052, ""ts"": ""2026-08-08T02:39:56.561067""}",2026-08-08T02:39:56.582013
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.4, ""ts"": ""2026-08-08T02:39:56.561067""}",2026-08-08T02:39:56.590987
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:01.575765""}",2026-08-08T02:40:01.578758
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:01.575765""}",2026-08-08T02:40:01.586738
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:01.576764""}",2026-08-08T02:40:01.592720
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.9, ""ts"": ""2026-08-08T02:40:01.582747""}",2026-08-08T02:40:01.599703
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:06.587855""}",2026-08-08T02:40:06.592661
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:06.587855""}",2026-08-08T02:40:06.601637
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:06.587855""}",2026-08-08T02:40:06.612831
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.3, ""ts"": ""2026-08-08T02:40:06.588745""}",2026-08-08T02:40:06.619813
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:11.596367""}",2026-08-08T02:40:11.600029
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 581.81, ""energy_wh_delta"": 0.00081, ""ts"": ""2026-08-08T02:40:11.596367""}",2026-08-08T02:40:11.600029
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:11.596367""}",2026-08-08T02:40:11.615657
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -50.2, ""ts"": ""2026-08-08T02:40:11.596367""}",2026-08-08T02:40:11.615657
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:16.599246""}",2026-08-08T02:40:16.599246
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:16.599246""}",2026-08-08T02:40:16.599246
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:16.599246""}",2026-08-08T02:40:16.614864
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.2, ""ts"": ""2026-08-08T02:40:16.599246""}",2026-08-08T02:40:16.614864
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:21.611425""}",2026-08-08T02:40:21.611425
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:21.611425""}",2026-08-08T02:40:21.611425
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 608.26, ""energy_wh_delta"": 0.00084, ""ts"": ""2026-08-08T02:40:21.611425""}",2026-08-08T02:40:21.627048
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.9, ""ts"": ""2026-08-08T02:40:21.611425""}",2026-08-08T02:40:21.627048
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:26.623782""}",2026-08-08T02:40:26.623782
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:26.623782""}",2026-08-08T02:40:26.623782
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:26.623782""}",2026-08-08T02:40:26.639402
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -57.6, ""ts"": ""2026-08-08T02:40:26.623782""}",2026-08-08T02:40:26.639402
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:31.635926""}",2026-08-08T02:40:31.635926
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 486.92, ""energy_wh_delta"": 0.00068, ""ts"": ""2026-08-08T02:40:31.635926""}",2026-08-08T02:40:31.635926
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:31.635926""}",2026-08-08T02:40:31.651580
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.9, ""ts"": ""2026-08-08T02:40:31.635926""}",2026-08-08T02:40:31.651580
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:36.783831""}",2026-08-08T02:40:36.866307
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:36.783831""}",2026-08-08T02:40:36.876368
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:36.783831""}",2026-08-08T02:40:36.926639
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.4, ""ts"": ""2026-08-08T02:40:36.783831""}",2026-08-08T02:40:36.944710
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:41.794254""}",2026-08-08T02:40:41.794254
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:41.794254""}",2026-08-08T02:40:41.794254
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:41.794254""}",2026-08-08T02:40:41.809878
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.9, ""ts"": ""2026-08-08T02:40:41.794254""}",2026-08-08T02:40:41.809878
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:46.805873""}",2026-08-08T02:40:46.811217
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:46.805873""}",2026-08-08T02:40:46.826848
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:46.805873""}",2026-08-08T02:40:46.826848
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -57.1, ""ts"": ""2026-08-08T02:40:46.810206""}",2026-08-08T02:40:46.842468
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:51.812954""}",2026-08-08T02:40:51.812954
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:51.812954""}",2026-08-08T02:40:51.828402
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:51.812954""}",2026-08-08T02:40:51.844015
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.4, ""ts"": ""2026-08-08T02:40:51.812954""}",2026-08-08T02:40:51.850525
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:56.820173""}",2026-08-08T02:40:56.827007
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:56.820173""}",2026-08-08T02:40:56.842640
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:40:56.820173""}",2026-08-08T02:40:56.842640
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.5, ""ts"": ""2026-08-08T02:40:56.820173""}",2026-08-08T02:40:56.857653
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:01.846305""}",2026-08-08T02:41:01.876428
